Wind power DK prognosis in MWh;;;;;
Data was last updated 10-02-2018;;G8_quantity;G8_price;G9_quantity;G9_price
01/01/2018;0;320;43;360;39
01/01/2018;1;320;43;360;39
01/01/2018;2;320;43;360;39
01/01/2018;3;320;43;360;39
01/01/2018;4;320;43;360;39
01/01/2018;5;320;43;360;39
01/01/2018;6;320;43;360;39
01/01/2018;7;320;43;360;39
01/01/2018;8;320;43;360;39
01/01/2018;9;320;43;360;39
01/01/2018;10;320;43;360;39
01/01/2018;11;320;43;360;39
01/01/2018;12;320;43;360;39
01/01/2018;13;320;43;360;39
01/01/2018;14;320;43;360;39
01/01/2018;15;320;43;360;39
01/01/2018;16;320;43;360;39
01/01/2018;17;320;43;360;39
01/01/2018;18;320;43;360;39
01/01/2018;19;320;43;360;39
01/01/2018;20;320;43;360;39
01/01/2018;21;320;43;360;39
01/01/2018;22;320;43;360;39
01/01/2018;23;320;43;360;39
02/01/2018;0;320;43;360;39
02/01/2018;1;320;43;360;39
02/01/2018;2;320;43;360;39
02/01/2018;3;320;43;360;39
02/01/2018;4;320;43;360;39
02/01/2018;5;320;43;360;39
02/01/2018;6;320;43;360;39
02/01/2018;7;320;43;360;39
02/01/2018;8;320;43;360;39
02/01/2018;9;320;43;360;39
02/01/2018;10;320;43;360;39
02/01/2018;11;320;43;360;39
02/01/2018;12;320;43;360;39
02/01/2018;13;320;43;360;39
02/01/2018;14;320;43;360;39
02/01/2018;15;320;43;360;39
02/01/2018;16;320;43;360;39
02/01/2018;17;320;43;360;39
02/01/2018;18;320;43;360;39
02/01/2018;19;320;43;360;39
02/01/2018;20;320;43;360;39
02/01/2018;21;320;43;360;39
02/01/2018;22;320;43;360;39
02/01/2018;23;320;43;360;39
03/01/2018;0;320;43;360;39
03/01/2018;1;320;43;360;39
03/01/2018;2;320;43;360;39
03/01/2018;3;320;43;360;39
03/01/2018;4;320;43;360;39
03/01/2018;5;320;43;360;39
03/01/2018;6;320;43;360;39
03/01/2018;7;320;43;360;39
03/01/2018;8;320;43;360;39
03/01/2018;9;320;43;360;39
03/01/2018;10;320;43;360;39
03/01/2018;11;320;43;360;39
03/01/2018;12;320;43;360;39
03/01/2018;13;320;43;360;39
03/01/2018;14;320;43;360;39
03/01/2018;15;320;43;360;39
03/01/2018;16;320;43;360;39
03/01/2018;17;320;43;360;39
03/01/2018;18;320;43;360;39
03/01/2018;19;320;43;360;39
03/01/2018;20;320;43;360;39
03/01/2018;21;320;43;360;39
03/01/2018;22;320;43;360;39
03/01/2018;23;320;43;360;39
04/01/2018;0;320;43;360;39
04/01/2018;1;320;43;360;39
04/01/2018;2;320;43;360;39
04/01/2018;3;320;43;360;39
04/01/2018;4;320;43;360;39
04/01/2018;5;320;43;360;39
04/01/2018;6;320;43;360;39
04/01/2018;7;320;43;360;39
04/01/2018;8;320;43;360;39
04/01/2018;9;320;43;360;39
04/01/2018;10;320;43;360;39
04/01/2018;11;320;43;360;39
04/01/2018;12;320;43;360;39
04/01/2018;13;320;43;360;39
04/01/2018;14;320;43;360;39
04/01/2018;15;320;43;360;39
04/01/2018;16;320;43;360;39
04/01/2018;17;320;43;360;39
04/01/2018;18;320;43;360;39
04/01/2018;19;320;43;360;39
04/01/2018;20;320;43;360;39
04/01/2018;21;320;43;360;39
04/01/2018;22;320;43;360;39
04/01/2018;23;320;43;360;39
05/01/2018;0;320;43;360;39
05/01/2018;1;320;43;360;39
05/01/2018;2;320;43;360;39
05/01/2018;3;320;43;360;39
05/01/2018;4;320;43;360;39
05/01/2018;5;320;43;360;39
05/01/2018;6;320;43;360;39
05/01/2018;7;320;43;360;39
05/01/2018;8;320;43;360;39
05/01/2018;9;320;43;360;39
05/01/2018;10;320;43;360;39
