Data was last updated 10-02-2018;Hours;Sweden_quantity
01/01/2018;0;0
01/01/2018;1;0
01/01/2018;2;0
01/01/2018;3;0
01/01/2018;4;0
01/01/2018;5;0
01/01/2018;6;0
01/01/2018;7;0
01/01/2018;8;0
01/01/2018;9;0
01/01/2018;10;0
01/01/2018;11;0
01/01/2018;12;0
01/01/2018;13;0
01/01/2018;14;0
01/01/2018;15;0
01/01/2018;16;150
01/01/2018;17;150
01/01/2018;18;150
01/01/2018;19;0
01/01/2018;20;0
01/01/2018;21;0
01/01/2018;22;0
01/01/2018;23;0
02/01/2018;0;0
02/01/2018;1;0
02/01/2018;2;0
02/01/2018;3;0
02/01/2018;4;0
02/01/2018;5;0
02/01/2018;6;0
02/01/2018;7;0
02/01/2018;8;0
02/01/2018;9;0
02/01/2018;10;0
02/01/2018;11;0
02/01/2018;12;0
02/01/2018;13;0
02/01/2018;14;0
02/01/2018;15;0
02/01/2018;16;150
02/01/2018;17;150
02/01/2018;18;150
02/01/2018;19;0
02/01/2018;20;0
02/01/2018;21;0
02/01/2018;22;0
02/01/2018;23;0
03/01/2018;0;0
03/01/2018;1;0
03/01/2018;2;0
03/01/2018;3;0
03/01/2018;4;0
03/01/2018;5;0
03/01/2018;6;0
03/01/2018;7;0
03/01/2018;8;0
03/01/2018;9;0
03/01/2018;10;0
03/01/2018;11;0
03/01/2018;12;0
03/01/2018;13;0
03/01/2018;14;0
03/01/2018;15;0
03/01/2018;16;150
03/01/2018;17;150
03/01/2018;18;150
03/01/2018;19;0
03/01/2018;20;0
03/01/2018;21;0
03/01/2018;22;0
03/01/2018;23;0
04/01/2018;0;0
04/01/2018;1;0
04/01/2018;2;0
04/01/2018;3;0
04/01/2018;4;0
04/01/2018;5;0
04/01/2018;6;0
04/01/2018;7;0
04/01/2018;8;0
04/01/2018;9;0
04/01/2018;10;0
04/01/2018;11;0
04/01/2018;12;0
04/01/2018;13;0
04/01/2018;14;0
04/01/2018;15;0
04/01/2018;16;150
04/01/2018;17;150
04/01/2018;18;150
04/01/2018;19;0
04/01/2018;20;0
04/01/2018;21;0
04/01/2018;22;0
04/01/2018;23;0
05/01/2018;0;0
05/01/2018;1;0
05/01/2018;2;0
05/01/2018;3;0
05/01/2018;4;0
05/01/2018;5;0
05/01/2018;6;0
05/01/2018;7;0
05/01/2018;8;0
05/01/2018;9;0
05/01/2018;10;0
05/01/2018;11;0
05/01/2018;12;0
05/01/2018;13;0
05/01/2018;14;0
05/01/2018;15;0
05/01/2018;16;150
05/01/2018;17;150
05/01/2018;18;150
05/01/2018;19;0
05/01/2018;20;0
05/01/2018;21;0
05/01/2018;22;0
05/01/2018;23;0
06/01/2018;0;0
06/01/2018;1;0
06/01/2018;2;0
06/01/2018;3;0
06/01/2018;4;0
06/01/2018;5;0
06/01/2018;6;0
06/01/2018;7;0
06/01/2018;8;0
06/01/2018;9;0
06/01/2018;10;0
06/01/2018;11;0
06/01/2018;12;0
06/01/2018;13;0
06/01/2018;14;0
06/01/2018;15;0
06/01/2018;16;150
06/01/2018;17;150
06/01/2018;18;150
06/01/2018;19;0
06/01/2018;20;0
06/01/2018;21;0
06/01/2018;22;0
06/01/2018;23;0
07/01/2018;0;0
07/01/2018;1;0
07/01/2018;2;0
07/01/2018;3;0
07/01/2018;4;0
07/01/2018;5;0
07/01/2018;6;0
07/01/2018;7;0
07/01/2018;8;0
07/01/2018;9;0
07/01/2018;10;0
07/01/2018;11;0
07/01/2018;12;0
07/01/2018;13;0
07/01/2018;14;0
07/01/2018;15;0
07/01/2018;16;150
07/01/2018;17;150
07/01/2018;18;150
07/01/2018;19;0
07/01/2018;20;0
07/01/2018;21;0
07/01/2018;22;0
07/01/2018;23;0
08/01/2018;0;0
08/01/2018;1;0
08/01/2018;2;0
08/01/2018;3;0
08/01/2018;4;0
08/01/2018;5;0
08/01/2018;6;0
08/01/2018;7;0
08/01/2018;8;0
08/01/2018;9;0
08/01/2018;10;0
08/01/2018;11;0
08/01/2018;12;0
08/01/2018;13;0
08/01/2018;14;0
08/01/2018;15;0
08/01/2018;16;150
08/01/2018;17;150
08/01/2018;18;150
08/01/2018;19;0
08/01/2018;20;0
08/01/2018;21;0
08/01/2018;22;0
08/01/2018;23;0
09/01/2018;0;0
09/01/2018;1;0
09/01/2018;2;0
09/01/2018;3;0
09/01/2018;4;0
09/01/2018;5;0
09/01/2018;6;0
09/01/2018;7;0
09/01/2018;8;0
09/01/2018;9;0
09/01/2018;10;0
09/01/2018;11;0
09/01/2018;12;0
09/01/2018;13;0
09/01/2018;14;0
09/01/2018;15;0
09/01/2018;16;150
09/01/2018;17;150
09/01/2018;18;150
09/01/2018;19;0
09/01/2018;20;0
09/01/2018;21;0
09/01/2018;22;0
09/01/2018;23;0
10/01/2018;0;0
10/01/2018;1;0
10/01/2018;2;0
10/01/2018;3;0
10/01/2018;4;0
10/01/2018;5;0
10/01/2018;6;0
10/01/2018;7;0
10/01/2018;8;0
10/01/2018;9;0
10/01/2018;10;0
10/01/2018;11;0
10/01/2018;12;0
10/01/2018;13;0
10/01/2018;14;0
10/01/2018;15;0
10/01/2018;16;150
10/01/2018;17;150
10/01/2018;18;150
10/01/2018;19;0
10/01/2018;20;0
10/01/2018;21;0
10/01/2018;22;0
10/01/2018;23;0
11/01/2018;0;0
11/01/2018;1;0
11/01/2018;2;0
11/01/2018;3;0
11/01/2018;4;0
11/01/2018;5;0
11/01/2018;6;0
11/01/2018;7;0
11/01/2018;8;0
11/01/2018;9;0
11/01/2018;10;0
11/01/2018;11;0
11/01/2018;12;0
11/01/2018;13;0
11/01/2018;14;0
11/01/2018;15;0
11/01/2018;16;150
11/01/2018;17;150
11/01/2018;18;150
11/01/2018;19;0
11/01/2018;20;0
11/01/2018;21;0
11/01/2018;22;0
11/01/2018;23;0
12/01/2018;0;0
12/01/2018;1;0
12/01/2018;2;0
12/01/2018;3;0
12/01/2018;4;0
12/01/2018;5;0
12/01/2018;6;0
12/01/2018;7;0
12/01/2018;8;0
12/01/2018;9;0
12/01/2018;10;0
12/01/2018;11;0
12/01/2018;12;0
12/01/2018;13;0
12/01/2018;14;0
12/01/2018;15;0
12/01/2018;16;150
12/01/2018;17;150
12/01/2018;18;150
12/01/2018;19;0
12/01/2018;20;0
12/01/2018;21;0
12/01/2018;22;0
12/01/2018;23;0
13/01/2018;0;0
13/01/2018;1;0
13/01/2018;2;0
13/01/2018;3;0
13/01/2018;4;0
13/01/2018;5;0
13/01/2018;6;0
13/01/2018;7;0
13/01/2018;8;0
13/01/2018;9;0
13/01/2018;10;0
13/01/2018;11;0
13/01/2018;12;0
13/01/2018;13;0
13/01/2018;14;0
13/01/2018;15;0
13/01/2018;16;150
13/01/2018;17;150
13/01/2018;18;150
13/01/2018;19;0
13/01/2018;20;0
13/01/2018;21;0
13/01/2018;22;0
13/01/2018;23;0
14/01/2018;0;0
14/01/2018;1;0
14/01/2018;2;0
14/01/2018;3;0
14/01/2018;4;0
14/01/2018;5;0
14/01/2018;6;0
14/01/2018;7;0
14/01/2018;8;0
14/01/2018;9;0
14/01/2018;10;0
14/01/2018;11;0
14/01/2018;12;0
14/01/2018;13;0
14/01/2018;14;0
14/01/2018;15;0
14/01/2018;16;150
14/01/2018;17;150
14/01/2018;18;150
14/01/2018;19;0
14/01/2018;20;0
14/01/2018;21;0
14/01/2018;22;0
14/01/2018;23;0
15/01/2018;0;0
15/01/2018;1;0
15/01/2018;2;0
15/01/2018;3;0
15/01/2018;4;0
15/01/2018;5;0
15/01/2018;6;0
15/01/2018;7;0
15/01/2018;8;0
15/01/2018;9;0
15/01/2018;10;0
15/01/2018;11;0
15/01/2018;12;0
15/01/2018;13;0
15/01/2018;14;0
15/01/2018;15;0
15/01/2018;16;150
15/01/2018;17;150
15/01/2018;18;150
15/01/2018;19;0
15/01/2018;20;0
15/01/2018;21;0
15/01/2018;22;0
15/01/2018;23;0
16/01/2018;0;0
16/01/2018;1;0
16/01/2018;2;0
16/01/2018;3;0
16/01/2018;4;0
16/01/2018;5;0
16/01/2018;6;0
16/01/2018;7;0
16/01/2018;8;0
16/01/2018;9;0
16/01/2018;10;0
16/01/2018;11;0
16/01/2018;12;0
16/01/2018;13;0
16/01/2018;14;0
16/01/2018;15;0
16/01/2018;16;150
