Consumption prognosis in MWh,,,,,,,,,
Data was last updated 12-02-2018,,,,,,,,,
,Hours,NO,SE,FI,DK1,DK2,EE,LV,LT
01-01-2018,"0,00",16422,15419,9752,1831,1591,794,638,1097
01-01-2018,"1,00",16272,15171,9498,1748,1541,814,602,1054
01-01-2018,"2,00",16101,14909,9368,1659,1497,807,582,1020
01-01-2018,"3,00",16011,14812,9362,1600,1426,809,565,1001
01-01-2018,"4,00",15975,14713,9435,1561,1378,843,568,1004
01-01-2018,"5,00",16012,14795,9571,1534,1339,934,573,1046
01-01-2018,"6,00",16262,15038,9610,1577,1288,1038,605,1091
01-01-2018,"7,00",16562,15254,9782,1670,1304,1136,628,1125
01-01-2018,"8,00",17171,15429,9775,1666,1347,1181,656,1167
01-01-2018,"9,00",17809,15621,9770,1856,1360,1193,683,1233
01-01-2018,"10,00",18314,16095,9923,1987,1454,1186,712,1283
01-01-2018,"11,00",18543,16458,10045,2039,1537,1177,735,1307
01-01-2018,"12,00",18560,16654,10077,2081,1557,1188,740,1320
01-01-2018,"13,00",18610,16795,10152,2058,1568,1179,737,1321
01-01-2018,"14,00",18610,16981,10419,2070,1588,1203,761,1335
01-01-2018,"15,00",18802,17534,10653,2169,1650,1229,827,1412
01-01-2018,"16,00",18981,17982,10734,2256,1734,1211,849,1455
01-01-2018,"17,00",18979,18075,10758,2453,1848,1179,835,1444
01-01-2018,"18,00",18823,17839,10755,2392,1793,1142,830,1423
01-01-2018,"19,00",18666,17484,10609,2243,1703,1100,794,1375
01-01-2018,"20,00",18524,17130,10286,2114,1621,1041,763,1305
01-01-2018,"21,00",18296,16571,10500,2009,1524,967,709,1207
01-01-2018,"22,00",17729,15952,10342,1883,1418,892,638,1104
01-01-2018,"23,00",17027,15347,9946,1766,1325,862,602,1053
02-01-2018,"0,00",17126,15337,9715,1672,1258,794,577,1022
02-01-2018,"1,00",16940,14997,9517,1629,1188,814,571,995
02-01-2018,"2,00",16941,14948,9458,1631,1167,807,565,985
02-01-2018,"3,00",16970,14947,9513,1649,1187,809,575,996
02-01-2018,"4,00",17320,15111,9828,1687,1235,843,623,1065
02-01-2018,"5,00",18016,15780,10464,1783,1293,934,735,1264
02-01-2018,"6,00",18369,17160,10829,2164,1410,1038,868,1464
02-01-2018,"7,00",19838,18588,11155,2570,1706,1136,969,1600
02-01-2018,"8,00",20379,19230,11170,2737,1865,1181,998,1657
02-01-2018,"9,00",20420,19450,11118,2760,1918,1193,1009,1686
02-01-2018,"10,00",20537,19707,11133,2825,1950,1186,1010,1695
02-01-2018,"11,00",20716,19791,11154,2831,1937,1177,1008,1680
02-01-2018,"12,00",20899,19674,11140,2756,1917,1188,1015,1695
02-01-2018,"13,00",20938,19651,11150,2663,1903,1179,1028,1676
02-01-2018,"14,00",21022,19653,11268,2670,1891,1203,1041,1673
02-01-2018,"15,00",21179,20118,11435,2677,1890,1229,1078,1716
02-01-2018,"16,00",21484,20391,11426,2848,2011,1211,1071,1737
02-01-2018,"17,00",21406,20489,11346,3069,2164,1179,1043,1700
02-01-2018,"18,00",21256,20139,11303,2965,2100,1142,1017,1647
02-01-2018,"19,00",21032,19703,11135,2692,1937,1100,974,1592
02-01-2018,"20,00",20859,19054,10703,2444,1780,1041,910,1503
02-01-2018,"21,00",20444,18325,10762,2271,1662,967,816,1366
02-01-2018,"22,00",19936,17481,10567,2128,1572,892,733,1234
02-01-2018,"23,00",18792,16639,10034,1981,1451,845,663,1167
03-01-2018,"0,00",17693,15596,9626,1864,1258,801,603,1070
03-01-2018,"1,00",17237,15317,9405,1839,1197,769,591,1042
03-01-2018,"2,00",17035,15150,9328,1840,1176,753,590,1029
