Wind power DK prognosis in MWh,,,
Data was last updated 11-02-2018,,,
,Hours,DK1,DK2
01-01-2018,"0,00",1513,279
01-01-2018,"1,00",1361,340
01-01-2018,"2,00",1441,503
01-01-2018,"3,00",1570,627
01-01-2018,"4,00",1681,684
01-01-2018,"5,00",1848,794
01-01-2018,"6,00",1961,868
01-01-2018,"7,00",1921,884
01-01-2018,"8,00",1929,898
01-01-2018,"9,00",1933,914
01-01-2018,"10,00",2107,926
01-01-2018,"11,00",2339,917
01-01-2018,"12,00",2524,918
01-01-2018,"13,00",2666,946
01-01-2018,"14,00",2681,942
01-01-2018,"15,00",2531,883
01-01-2018,"16,00",2279,804
01-01-2018,"17,00",1995,752
01-01-2018,"18,00",1834,702
01-01-2018,"19,00",1753,668
01-01-2018,"20,00",1666,652
01-01-2018,"21,00",1632,595
01-01-2018,"22,00",1567,519
01-01-2018,"23,00",1464,443
02-01-2018,"0,00",1503,493
02-01-2018,"1,00",1500,438
02-01-2018,"2,00",1426,379
02-01-2018,"3,00",1313,310
02-01-2018,"4,00",1154,233
02-01-2018,"5,00",1021,219
02-01-2018,"6,00",971,216
02-01-2018,"7,00",949,212
02-01-2018,"8,00",975,222
02-01-2018,"9,00",986,250
02-01-2018,"10,00",961,268
02-01-2018,"11,00",905,285
02-01-2018,"12,00",879,260
02-01-2018,"13,00",924,244
02-01-2018,"14,00",906,292
02-01-2018,"15,00",874,254
02-01-2018,"16,00",904,239
02-01-2018,"17,00",957,274
02-01-2018,"18,00",1025,328
02-01-2018,"19,00",1047,355
02-01-2018,"20,00",1135,383
02-01-2018,"21,00",1317,442
02-01-2018,"22,00",1473,492
02-01-2018,"23,00",1684,498
03-01-2018,"0,00",1917,561
03-01-2018,"1,00",2225,625
03-01-2018,"2,00",2524,710
03-01-2018,"3,00",2808,815
03-01-2018,"4,00",2916,884
03-01-2018,"5,00",2983,922
03-01-2018,"6,00",3025,952
03-01-2018,"7,00",2956,934
03-01-2018,"8,00",2819,904
03-01-2018,"9,00",2648,851
03-01-2018,"10,00",2362,755
03-01-2018,"11,00",1902,615
03-01-2018,"12,00",1520,418
03-01-2018,"13,00",1299,361
03-01-2018,"14,00",1214,387
03-01-2018,"15,00",1129,352
03-01-2018,"16,00",1000,305
03-01-2018,"17,00",865,317
03-01-2018,"18,00",826,327
03-01-2018,"19,00",765,294
03-01-2018,"20,00",746,277
03-01-2018,"21,00",829,272
03-01-2018,"22,00",883,250
03-01-2018,"23,00",944,286
04-01-2018,"0,00",865,284
04-01-2018,"1,00",938,414
04-01-2018,"2,00",928,477
04-01-2018,"3,00",1072,524
04-01-2018,"4,00",1186,554
04-01-2018,"5,00",1242,587
04-01-2018,"6,00",1269,639
04-01-2018,"7,00",1156,630
04-01-2018,"8,00",994,625
04-01-2018,"9,00",848,622
04-01-2018,"10,00",753,587
04-01-2018,"11,00",709,561
04-01-2018,"12,00",700,517
04-01-2018,"13,00",730,446
04-01-2018,"14,00",802,379
04-01-2018,"15,00",758,322
04-01-2018,"16,00",627,252
04-01-2018,"17,00",480,192
04-01-2018,"18,00",420,170
04-01-2018,"19,00",383,158
04-01-2018,"20,00",316,165
04-01-2018,"21,00",288,136
04-01-2018,"22,00",280,97
04-01-2018,"23,00",259,72
05-01-2018,"0,00",198,89
05-01-2018,"1,00",225,83
05-01-2018,"2,00",238,102
05-01-2018,"3,00",233,214
05-01-2018,"4,00",212,233
05-01-2018,"5,00",194,274
05-01-2018,"6,00",211,369
05-01-2018,"7,00",164,388
05-01-2018,"8,00",157,414
05-01-2018,"9,00",156,443
